INVOICE_ID,SUPPLIER_ID,PURCHASE_ORDER_ID,INVOICE_DATE,AMOUNT_EXCLUDING_TAX,TAX_AMOUNT,TOTAL_AMOUNT,CURRENCY_CODE
134,2,1,2019-01-02,313.50,47.03,360.53,
169,4,2,2019-01-02,21732.00,3259.80,24991.80,
186,5,3,2019-01-02,2740.50,411.11,3151.61,
215,7,4,2019-01-02,42481.20,6372.19,48853.39,
224,10,5,2019-01-02,35067.50,5260.14,40327.64,
230,12,6,2019-01-02,5528.50,829.28,6357.78,
565,4,7,2019-01-03,10000.50,1500.08,11500.58,
570,5,8,2019-01-03,657.00,98.56,755.56,
588,7,9,2019-01-03,9281.50,1392.24,10673.74,
590,10,10,2019-01-03,1037.50,155.63,1193.13,
594,12,11,2019-01-03,19869.50,2980.43,22849.93,
932,4,12,2019-01-04,6661.50,999.23,7660.73,
935,5,13,2019-01-04,261.00,39.15,300.15,
952,7,14,2019-01-04,16279.45,2441.92,18721.37,
955,10,15,2019-01-04,13325.00,1998.75,15323.75,
959,12,16,2019-01-04,3768.00,565.20,4333.20,
1390,4,17,2019-01-07,8808.00,1321.20,10129.20,
1393,5,18,2019-01-07,288.00,43.21,331.21,
1400,7,19,2019-01-07,5230.20,784.53,6014.73,
1402,10,20,2019-01-07,7250.00,1087.50,8337.50,
1408,4,21,2019-01-07,5116.00,767.40,5883.40,
1410,5,22,2019-01-07,157.50,23.63,181.13,
1417,7,23,2019-01-07,3639.55,545.93,4185.48,
1419,10,24,2019-01-07,1245.00,186.75,1431.75,
1422,12,25,2019-01-07,19278.00,2891.70,22169.70,
1873,4,26,2019-01-08,1436.00,215.40,1651.40,
1880,5,27,2019-01-08,832.50,124.89,957.39,
1882,7,28,2019-01-08,2380.00,357.00,2737.00,
1884,10,29,2019-01-08,1037.50,155.63,1193.13,
1887,12,30,2019-01-08,2376.00,356.40,2732.40,
2087,7,31,2019-01-09,10940.00,1641.00,12581.00,
2351,4,32,2019-01-10,168.00,25.20,193.20,
2353,5,33,2019-01-10,126.00,18.90,144.90,
2356,7,34,2019-01-10,10600.00,1590.00,12190.00,
2358,10,35,2019-01-10,8525.00,1278.75,9803.75,
2719,4,36,2019-01-11,1242.00,186.30,1428.30,
2721,5,37,2019-01-11,144.00,21.60,165.60,
2723,7,38,2019-01-11,510.00,76.50,586.50,
3236,4,39,2019-01-14,2646.00,396.90,3042.90,
3241,5,40,2019-01-14,553.50,83.03,636.53,
3244,4,41,2019-01-14,1110.00,166.50,1276.50,
3246,7,42,2019-01-14,1530.00,229.50,1759.50,
3574,4,43,2019-01-15,3648.00,547.20,4195.20,
3576,5,44,2019-01-15,148.50,22.28,170.78,
3578,7,45,2019-01-15,170.00,25.50,195.50,
3580,10,46,2019-01-15,1150.00,172.50,1322.50,
4017,4,47,2019-01-16,7494.00,1124.10,8618.10,
4020,5,48,2019-01-16,297.00,44.56,341.56,
4022,10,49,2019-01-16,1364.00,204.60,1568.60,
4221,4,50,2019-01-17,6162.00,924.30,7086.30,
4467,4,51,2019-01-18,7590.00,1138.50,8728.50,
4978,4,52,2019-01-21,9702.00,1455.30,11157.30,
4980,5,53,2019-01-21,144.00,21.60,165.60,
4982,4,54,2019-01-21,756.00,113.40,869.40,
4984,5,55,2019-01-21,139.50,20.93,160.43,
5163,4,56,2019-01-22,8382.00,1257.30,9639.30,
5379,4,57,2019-01-23,8850.00,1327.50,10177.50,
5695,4,58,2019-01-24,11514.00,1727.10,13241.10,
5892,4,59,2019-01-25,14358.00,2153.70,16511.70,
6448,4,60,2019-01-28,14358.00,2153.70,16511.70,
6452,4,61,2019-01-28,2448.00,367.20,2815.20,
6454,10,62,2019-01-28,8815.00,1322.25,10137.25,
6738,4,63,2019-01-29,16410.00,2461.50,18871.50,
6740,7,64,2019-01-29,1020.00,153.00,1173.00,
7129,4,65,2019-01-30,19830.00,2974.50,22804.50,
7131,7,66,2019-01-30,340.00,51.00,391.00,
7503,4,67,2019-01-31,20514.00,3077.10,23591.10,
7836,4,68,2019-02-01,22434.00,3365.10,25799.10,
8357,4,69,2019-02-04,25014.00,3752.10,28766.10,
8362,4,70,2019-02-04,2244.00,336.60,2580.60,
8623,4,71,2019-02-05,26550.00,3982.50,30532.50,
8814,4,72,2019-02-06,26790.00,4018.50,30808.50,
9009,4,73,2019-02-07,26826.00,4023.90,30849.90,
9181,4,74,2019-02-08,26310.00,3946.50,30256.50,
9699,4,75,2019-02-11,26022.00,3903.30,29925.30,
9703,4,76,2019-02-11,3804.00,570.60,4374.60,
10029,4,77,2019-02-12,29970.00,4495.50,34465.50,
10193,4,78,2019-02-13,31302.00,4695.30,35997.30,
10370,4,79,2019-02-14,33042.00,4956.30,37998.30,
10372,7,80,2019-02-14,1190.00,178.50,1368.50,
10634,4,81,2019-02-15,36678.00,5501.70,42179.70,
10636,7,82,2019-02-15,2040.00,306.00,2346.00,
11047,4,83,2019-02-18,36066.00,5409.90,41475.90,
11049,7,84,2019-02-18,1360.00,204.00,1564.00,
11053,4,85,2019-02-18,1440.00,216.00,1656.00,
11269,4,86,2019-02-19,37590.00,5638.50,43228.50,
11271,7,87,2019-02-19,2210.00,331.50,2541.50,
11524,4,88,2019-02-20,37602.00,5640.30,43242.30,
11526,7,89,2019-02-20,2550.00,382.50,2932.50,
11819,4,90,2019-02-21,38868.00,5830.20,44698.20,
11821,7,91,2019-02-21,3230.00,484.50,3714.50,
12008,4,92,2019-02-22,37452.00,5617.80,43069.80,
12010,7,93,2019-02-22,2550.00,382.50,2932.50,
12440,4,94,2019-02-25,37212.00,5581.80,42793.80,
12442,7,95,2019-02-25,4080.00,612.00,4692.00,
12446,4,96,2019-02-25,2052.00,307.80,2359.80,
12448,7,97,2019-02-25,1700.00,255.00,1955.00,
12611,4,98,2019-02-26,36432.00,5464.80,41896.80,
12613,7,99,2019-02-26,4420.00,663.00,5083.00,
12881,4,100,2019-02-27,36552.00,5482.80,42034.80,
12883,7,101,2019-02-27,3740.00,561.00,4301.00,
13077,4,102,2019-02-28,36000.00,5400.00,41400.00,
13079,7,103,2019-02-28,4420.00,663.00,5083.00,
13277,4,104,2019-03-01,36324.00,5448.60,41772.60,
13279,7,105,2019-03-01,3740.00,561.00,4301.00,
